iter	Passed	Remaining
0	84	63318
1	161	60575
2	234	58700
3	312	58553
4	390	58449
5	458	57148
6	513	54818
7	577	53854
8	643	53276
9	711	52959
10	776	52449
11	838	51866
12	905	51612
13	967	51164
14	1030	50755
15	1088	50209
16	1149	49824
17	1218	49829
18	1286	49785
19	1355	49759
20	1425	49742
21	1495	49758
22	1564	49729
23	1634	49730
24	1698	49527
25	1767	49487
26	1836	49444
27	1901	49291
28	1968	49213
29	2034	49095
30	2090	48764
31	2157	48687
32	2219	48499
33	2280	48285
34	2351	48309
35	2422	48320
36	2492	48298
37	2551	48069
38	2609	47835
39	2676	47773
40	2735	47571
41	2792	47344
42	2858	47270
43	2929	47276
44	2993	47157
45	3052	46979
46	3119	46928
47	3185	46855
48	3258	46887
49	3322	46777
50	3387	46688
51	3452	46614
52	3520	46557
53	3587	46506
54	3650	46388
55	3717	46340
56	3787	46314
57	3844	46133
58	3911	46080
59	3983	46078
60	4045	45964
61	4101	45775
62	4172	45763
63	4235	45664
64	4299	45578
65	4368	45537
66	4427	45401
67	4493	45328
68	4551	45182
69	4618	45130
70	4676	44985
71	4737	44873
72	4802	44804
73	4867	44724
74	4930	44639
75	4991	44530
76	5050	44403
77	5112	44312
78	5181	44268
79	5240	44153
80	5296	44003
81	5364	43961
82	5422	43839
83	5481	43724
84	5550	43686
85	5606	43549
86	5664	43424
87	5726	43341
88	5797	43318
89	5852	43177
90	5922	43146
91	5992	43119
92	6052	43018
93	6119	42967
94	6186	42915
95	6246	42817
96	6311	42751
97	6375	42678
98	6448	42661
99	6508	42567
100	6587	42591
101	6647	42491
102	6713	42434
103	6775	42345
104	6831	42223
105	6895	42151
106	6960	42090
107	7023	42010
108	7095	41985
109	7151	41867
110	7217	41808
111	7256	41595
112	7318	41516
113	7391	41494
114	7457	41436
115	7524	41382
116	7598	41368
117	7664	41311
118	7735	41275
119	7804	41231
120	7871	41178
121	7946	41164
122	8003	41058
123	8069	40995
124	8132	40921
125	8202	40880
126	8267	40815
127	8321	40695
128	8388	40641
129	8446	40541
130	8504	40443
131	8558	40326
132	8619	40246
133	8679	40159
134	8741	40082
135	8802	39998
136	8871	39952
137	8934	39883
138	9003	39836
139	9066	39764
140	9131	39700
141	9196	39634
142	9260	39565
143	9320	39482
144	9391	39442
