iter	Logloss
0	0.6437420507
1	0.6032461066
2	0.566653347
3	0.5367406346
4	0.5075440625
5	0.4833439994
6	0.4619721075
7	0.4443353255
8	0.4290031195
9	0.4160913562
10	0.4054731562
11	0.3955734334
12	0.3851010609
13	0.3760677391
14	0.3683541882
15	0.3615033797
16	0.3556082926
17	0.3504445168
18	0.3460161142
19	0.3423374548
20	0.3387608684
21	0.3356452981
22	0.3329079527
23	0.3305175737
24	0.3283518131
25	0.3265120934
26	0.3248601414
27	0.3233406993
28	0.3220259385
29	0.3208599501
30	0.3196925015
31	0.3185703693
32	0.3176500451
33	0.3167808429
34	0.3160647076
35	0.3153995767
36	0.3147721508
37	0.3141903503
38	0.3136176114
39	0.3131050446
40	0.3126416784
41	0.3121971555
42	0.3118025233
43	0.3114404892
44	0.3110814966
45	0.3107562463
46	0.310486962
47	0.3102130743
48	0.3099646187
49	0.3096916513
50	0.3094409971
51	0.309196071
52	0.3089915905
53	0.3086936166
54	0.3084534165
55	0.3082029215
56	0.307950087
57	0.3077644878
58	0.3075606997
59	0.3073721677
60	0.3072336566
61	0.3070913639
62	0.3069642045
63	0.3067885248
64	0.3066577407
65	0.3065498919
66	0.3064353093
67	0.3063212848
68	0.3062366915
69	0.3061049201
70	0.3059863121
71	0.3058852491
72	0.3057947973
73	0.3056094896
74	0.305513129
75	0.3054231878
76	0.3052526802
77	0.3051593328
78	0.3050707591
79	0.3050112486
80	0.304949552
81	0.3048352344
82	0.3047605929
83	0.3046960001
84	0.3045996948
85	0.3045023001
86	0.3044218362
87	0.3043636172
88	0.3042934397
89	0.3042588296
90	0.3042038625
91	0.3041432611
92	0.3040903591
93	0.3040444524
94	0.3039823483
95	0.3038851482
96	0.303842369
97	0.3037664674
98	0.303688852
99	0.3036177396
100	0.3035560243
101	0.3035073033
102	0.3034364898
103	0.3033741295
104	0.3033244062
105	0.3032891881
106	0.303233893
107	0.3031904784
108	0.3031405011
109	0.3031070965
110	0.3030840352
111	0.3030399208
112	0.3030044471
113	0.3029761532
114	0.3029447545
115	0.3029031567
116	0.3028681085
117	0.3028399065
118	0.3027969781
