iter	Passed	Remaining
0	197	98368
1	343	85421
2	471	78092
3	584	72492
4	697	69036
5	800	65914
6	914	64440
7	1013	62350
8	1124	61329
9	1239	60738
10	1330	59167
11	1444	58761
12	1541	57742
13	1656	57490
14	1757	56828
15	1856	56153
16	1960	55694
17	2072	55506
18	2185	55327
19	2286	54877
20	2396	54666
21	2485	54003
22	2586	53650
23	2684	53242
24	2787	52956
25	2897	52817
26	2999	52548
27	3111	52444
28	3220	52304
29	3318	51997
30	3409	51579
31	3505	51266
32	3618	51202
33	3724	51049
34	3822	50781
35	3924	50582
36	4019	50297
37	4131	50225
38	4227	49977
39	4313	49600
40	4424	49528
41	4525	49351
42	4632	49231
43	4734	49062
44	4841	48951
45	4929	48653
46	5012	48314
47	5108	48107
48	5217	48018
49	5304	47738
50	5409	47626
51	5504	47425
52	5615	47361
53	5714	47194
54	5818	47079
55	5933	47046
56	6039	46939
57	6133	46744
58	6248	46707
59	6332	46441
60	6440	46351
61	6549	46271
62	6643	46085
63	6729	45844
64	6846	45819
65	6947	45688
66	7046	45541
67	7164	45515
68	7253	45306
69	7360	45215
70	7462	45088
71	7562	44952
72	7710	45102
73	7816	45000
74	7925	44910
75	8030	44799
76	8143	44736
77	8292	44865
78	8397	44753
79	8504	44650
80	8600	44489
81	8716	44432
82	8806	44245
83	8920	44175
84	9011	43995
85	9119	43899
86	9228	43811
87	9338	43722
88	9439	43593
89	9534	43433
90	9653	43388
91	9780	43372
92	9894	43303
93	10003	43208
94	10107	43090
95	10213	42983
96	10325	42898
97	10437	42814
98	10540	42694
99	10640	42561
100	10727	42379
101	10842	42307
102	10940	42167
103	11061	42120
104	11176	42043
105	11268	41884
106	11360	41726
107	11488	41700
108	11605	41631
109	11742	41632
110	11870	41601
111	12019	41638
112	12139	41573
113	12277	41569
114	12398	41507
115	12535	41498
116	12665	41460
117	12781	41377
118	12907	41324
119	13034	41275
120	13160	41221
121	13281	41151
122	13392	41048
123	13476	40863
124	13596	40790
125	13675	40590
126	13787	40494
127	13888	40363
128	13974	40189
129	14074	40058
130	14169	39913
131	14279	39809
132	14407	39757
133	14529	39685
134	14646	39598
135	14751	39483
136	14878	39422
137	14963	39253
138	15065	39126
139	15163	38990
140	15278	38899
141	15386	38791
142	15484	38657
143	15587	38536
144	15693	38422
145	15787	38278
146	15893	38166
147	16009	38076
148	16095	37915
149	16221	37850
150	16330	37743
151	16442	37644
152	16570	37581
153	16695	37509
154	16787	37364
155	16901	37270
156	17054	37258
157	17158	37139
158	17236	36965
159	17336	36839
160	17426	36692
161	17527	36569
162	17643	36477
163	17756	36379
164	17860	36261
165	17966	36149
166	18060	36012
167	18175	35918
168	18265	35775
169	18330	35582
170	18454	35506
171	18550	35375
172	18652	35256
173	18741	35112
174	18851	35009
175	18943	34872
176	19065	34791
177	19165	34669
178	19286	34586
179	19399	34488
180	19495	34359
181	19583	34218
182	19692	34112
183	19801	34006
184	19900	33884
185	19999	33762
186	20104	33651
187	20207	33536
188	20297	33400
189	20396	33278
190	20519	33196
191	20622	33081
192	20735	32983
193	20838	32869
194	20942	32756
195	21058	32661
196	21169	32559
197	21256	32421
198	21376	32333
199	21485	32228
200	21580	32101
201	21689	31997
202	21796	31889
203	21898	31774
204	22015	31680
205	22115	31563
206	22209	31435
207	22325	31341
208	22429	31229
209	22527	31109
210	22639	31008
211	22755	30913
212	22870	30816
213	22984	30716
214	23098	30619
215	23217	30527
216	23331	30427
217	23450	30335
218	23551	30218
219	23667	30122
220	23782	30023
221	23884	29909
222	24006	29819
223	24120	29720
224	24232	29617
225	24350	29522
226	24482	29443
227	24578	29321
228	24691	29219
229	24824	29141
230	24940	29043
231	25028	28912
232	25142	28810
233	25263	28718
234	25373	28612
235	25488	28512
236	25605	28414
237	25746	28342
238	25853	28233
239	25973	28138
240	26070	28017
241	26187	27919
242	26290	27805
243	26409	27708
244	26513	27595
245	26646	27512
246	26681	27329
247	26775	27207
248	26910	27126
249	27016	27016
250	27129	26913
251	27249	26816
252	27356	26707
253	27452	26587
254	27577	26495
255	27676	26379
256	27765	26253
257	27877	26149
258	28014	26067
259	28131	25967
260	28228	25848
261	28339	25743
262	28438	25627
263	28537	25510
264	28655	25411
265	28776	25314
266	28886	25208
267	29012	25115
268	29137	25021
269	29256	24921
270	29386	24832
271	29514	24739
272	29641	24646
273	29743	24532
274	29872	24441
275	29998	24346
276	30110	24240
277	30225	24136
278	30349	24039
279	30469	23940
280	30577	23831
281	30695	23728
282	30809	23624
283	30938	23530
284	31045	23420
285	31149	23307
286	31259	23199
287	31387	23104
288	31494	22994
289	31609	22889
290	31744	22799
291	31877	22707
292	31994	22603
293	32117	22503
294	32227	22395
295	32339	22288
296	32441	22173
297	32552	22065
298	32644	21945
299	32772	21848
300	32888	21743
301	33009	21642
302	33112	21528
303	33236	21428
304	33373	21337
305	33493	21234
306	33595	21120
307	33746	21037
308	33862	20931
309	33985	20829
310	34109	20729
311	34224	20622
312	34343	20518
313	34444	20403
314	34563	20299
315	34697	20203
316	34823	20103
317	34968	20013
318	35077	19902
319	35205	19803
320	35324	19697
321	35453	19598
322	35565	19489
323	35706	19396
324	35818	19286
325	35918	19171
326	36055	19075
327	36183	18974
328	36310	18872
329	36423	18763
330	36558	18665
331	36681	18561
332	36786	18448
333	36905	18342
334	37051	18249
335	37178	18146
336	37314	18048
337	37432	17941
338	37562	17839
339	37682	17732
340	37818	17633
341	37923	17520
342	38048	17415
343	38147	17299
344	38273	17195
345	38396	17089
346	38496	16974
347	38636	16875
348	38762	16771
349	38859	16654
350	38976	16545
351	39078	16430
352	39205	16326
353	39317	16215
354	39435	16107
355	39554	15999
356	39672	15891
357	39803	15787
358	39910	15675
359	40025	15565
360	40141	15456
361	40251	15344
362	40374	15237
363	40476	15122
364	40576	15007
365	40702	14901
366	40828	14796
367	40932	14682
368	41061	14577
369	41184	14470
370	41286	14355
371	41403	14246
372	41525	14138
373	41631	14025
374	41730	13910
375	41859	13804
376	41981	13696
377	42083	13582
378	42181	13466
379	42275	13350
380	42413	13247
381	42543	13141
382	42659	13031
383	42766	12918
384	42869	12805
385	42990	12696
386	43110	12587
387	43226	12477
388	43327	12363
389	43434	12250
390	43561	12143
391	43679	12034
392	43783	11920
393	43914	11814
394	44039	11706
395	44154	11596
396	44260	11483
397	44364	11369
398	44461	11254
399	44585	11146
400	44696	11034
401	44817	10925
402	44949	10819
403	45059	10707
404	45166	10594
405	45295	10487
406	45418	10378
407	45540	10269
408	45640	10154
409	45744	10041
410	45870	9932
411	45993	9823
412	46108	9712
413	46236	9604
414	46351	9493
415	46461	9381
416	46591	9273
417	46691	9159
418	46785	9044
419	46902	8933
420	47003	8820
421	47112	8708
422	47234	8598
423	47359	8488
424	47486	8379
425	47594	8267
426	47697	8154
427	47793	8040
428	47893	7926
429	48010	7815
430	48131	7705
431	48249	7594
432	48375	7485
433	48485	7373
434	48584	7259
435	48710	7150
436	48817	7037
437	48913	6923
438	49012	6810
439	49135	6700
440	49240	6587
441	49357	6476
442	49488	6367
443	49601	6256
444	49727	6146
445	49834	6033
446	49945	5921
447	50050	5809
448	50172	5698
449	50290	5587
450	50388	5474
451	50507	5363
452	50611	5251
453	50727	5139
454	50847	5028
455	50961	4917
456	51083	4806
457	51201	4695
458	51296	4582
459	51401	4469
460	51533	4359
461	51670	4249
462	51806	4140
463	51932	4029
464	52049	3917
465	52155	3805
466	52287	3694
467	52402	3583
468	52528	3472
469	52650	3360
470	52751	3247
471	52868	3136
472	52987	3024
473	53122	2913
474	53291	2804
475	53414	2693
476	53501	2579
477	53607	2467
478	53711	2354
479	53843	2243
480	53951	2131
481	54069	2019
482	54185	1907
483	54288	1794
484	54390	1682
485	54515	1570
486	54606	1457
487	54727	1345
488	54830	1233
489	54960	1121
490	55084	1009
491	55216	897
492	55322	785
493	55447	673
494	55549	561
495	55654	448
496	55773	336
497	55890	224
498	56023	112
499	56149	0
